"y la gente sigue votando por el PP. Que luego no se quejen."
"Jarama Coslada, buen ambiente hay deportes y bailoterapia."
"Una estación de metro que está casi más tiempo cerrada, por problemas de la línea 7B que abierta. Con la cantidad de millones de Euros que es están gastando en las reparaciones ""cada poco"" se podría rellenar los túneles defectuoso, hacerles viviendas a los afectados que vieron, ven y verán, como devuelven sus casa por los problemas de los túneles, hacer un estudio ""bien, en condiciones, sin prisas  electorales"" para diseñar un nuevo trazado y si no es viable: Por la seguridad de las personas que diariamente usamos esa línea de metro. Por la seguridad de la propia construcción. O por........................ Pues no se construye. PERO NOOOOOOOOOOOO!!! MEJOR HACER MALLLLL EL ESTUDIO DE LOS TERRENOS. CONSTRUIR DEPRISA Y CORRIENDO, por la proximidad de las elecciones y tener que hacerse las fotitos inaugurando. Y LUEGO, DEJAR TIRADO, SI TIRADOS, A LOS AFECTADOS QUE SE QUEDARON, SE QUEDAN  Y SE QUEDARAN SIN SUS CASAS. Soluciones REALES y buenas ""no tienen que perder ni un céntimo y ni un minuto de salud"" por un problema que generaron unos políticos y ahora se esconden. Necesitamos Políticos que trabajen para los ciudadanos y no para ser reelegidos y llenar sus cuentas corrientes ""con los SUELDAZOS públicos"" de otros ingresos no puedo hablar."
"Buen estado general pese a las filtraciones."
"Espacio de encuentro de grupos de deportistas de diferentes disciplinas. Kickingball tiene aquí un campo de práctica."
"Un buen parque muy activo cada día mejor ,hay fuente para los perros y recinto para ellos ,un metro que pronto estará activo ."
"Campo de fútbol ⚽ donde practicamos y jugamos u  deporte llamado Kickigboll 🥰…"
"Estuvo cerrada un montón de tiempo, actualmente el estado de conservación es correcto pero no recomiendo su uso salvo que sea necesario"
"Pésima la atención del personal del metro, no sabia que en Madrid sean tan incultos"
"Localidad muy bonita y tranquila."
"Inundado cada dos por tres."
"Es una estación espaciosa pero casi desierta de pasajeros"
"Buena atención y servicio 🙂…"
"Una de las polémicas estaciones... Mucho tiempo cerrada."
"Metro Jarama L7"
"Me ha encantado"
"Demasiado tiempo cerrada"
