"Es moderno con fácil acceso a personas con movilidad reducida."
"Es una avenida de Madrid que segmenta un barrio modesto pero bien equipado. A lo largo de ella se encuentran dos supermercados de cadenas nacionales, así como establecimientos de todo tipo centrados en las necesidades diarias: fruterías, bazares, farmacias, bares, restaurantes económicos, cafeterías, etc. En las calles aledañas, pequeñas tiendas y abundancia de pequeños parques con instalaciones para niños y personas de edad. En ellas también instalaciones municipales: cultura, tercera edad, deporte. Es un barrio tranquilo y seguro bien comunicado."
"Relativamente nuevo, amplio y de color 🍊!!…"
"Estación limpia, buenos accesos, amplia. Hay poco personal pero suficiente."
"Limpio y rápido.Por ponerle un pero.....pero por qué no hay wifi,siendo una de la lineas de metro más nuevas??😂…"
"Una de las estaciones más limpias de Madrid!"
"No es de las estaciones más modernas, pero sí muy necesaria en esta parte de la ciudad."
"Buen servicio, estación amplia y siempre en buen estado."
"De las mejores estaciones de metro de todo Madrid, Antonio Machado."
"La estacion muy limpia"
"Un barrio estupendo."
"Buen servicio y siempre en buenas condiciones."
