"yC3ZMb href","Vpc5Fe","GSM50","enjdgf","enjdgf 2","KgoSse href","y3Ibjb","OA1nbd"
"https://www.google.com/maps/contrib/112648790617331741493/reviews?hl=es","edison chogllo","Local Guide24 reseñas4 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSURpekx2eW5RRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSURpekx2eW5RRRItChZDSUhNMG9nS0VJQ0FnSURpekx2eVhREhNDZ3dJeFpPRV9nVVEySnJObUFNGi4KF0NJSE0wb2dLRUlDQWdJRGl6THZ5M1FFEhNDZ3dJeFpPRV9nVVEySnJObUFNIhIJAAAAAAAAAAAR6K8Ue4L1ta8qE0Nnd0l4Wk9FX2dVUTJKck5tQU0&wv=1&d=286732336&gsas=1","Hace 3 años","La estación de metro es adecuada"
"https://www.google.com/maps/contrib/110913766183817116384/reviews?hl=es","Blacky. (Blacki.)","Local Guide405 reseñas36935 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUNKazZqTGZnEAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUNKazZqTGZnEi4KF0NJSE0wb2dLRUlDQWdJQ0prNmpMX2dFEhNDZ3dJcnE2UHBRWVFzTnF0LUFJGi0KFkNJSE0wb2dLRUlDQWdJQ0prNmpMQVESE0Nnd0lycTZQcFFZUXNOcXQtQUkiEgkAAAAAAAAAABHorxR7gvW1ryoTQ2d3SXJxNlBwUVlRc05xdC1BSQ&wv=1&d=286732336&gsas=1","Hace un año","Poco......."
"https://www.google.com/maps/contrib/109092355797472463020/reviews?hl=es","vivek sinha","Local Guide439 reseñas2989 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSURRNWRpX1NREAE&entityid=ChZDSUhNMG9nS0VJQ0FnSURRNWRpX1NREi4KF0NJSE0wb2dLRUlDQWdJRFE1ZGlfeVFFEhNDZ3dJbjZ6azFRVVFnT3IzakFJGi0KFkNJSE0wb2dLRUlDQWdJRFE1ZGlfS1ESE0Nnd0luNnprMVFVUWdPcjNqQUkiEgkAAAAAAAAAABHorxR7gvW1ryoTQ2d3SW42emsxUVVRZ09yM2pBSQ&wv=1&d=286732336&gsas=1","Hace 6 años","Small station with limited trains, but it suffices the need here... good location, clean"
"https://www.google.com/maps/contrib/103098788595944704672/reviews?hl=es","Antonio A. M.","Local Guide48 reseñas137 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUNUd0l6TVl3EAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUNUd0l6TVl3Gi4KF0NJSE0wb2dLRUlDQWdJQ1R3SXpNNHdFEhNDZ3dJci03enNRWVEyTFdOMmdFIhIJAAAAAAAAAAAR6K8Ue4L1ta8qE0Nnd0lyLTd6c1FZUTJMV04yZ0U&wv=1&d=286732336&gsas=1","Hace 4 meses",""
"https://www.google.com/maps/contrib/100151817997869899270/reviews?hl=es","Caterina Lopez Garcia","Local Guide16 reseñas66 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUR0cmNxV0NBEAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUR0cmNxV0NBGi4KF0NJSE0wb2dLRUlDQWdJRHRyY3FXeUFFEhNDZ3dJeXMySHJnWVFpS0drd2dJIhIJAAAAAAAAAAAR6K8Ue4L1ta8qE0Nnd0l5czJIcmdZUWlLR2t3Z0k&wv=1&d=286732336&gsas=1","Hace 7 meses",""
"https://www.google.com/maps/contrib/115349638817552501239/reviews?hl=es","abel fernandez cabanillas","Local Guide103 reseñas424 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUNaX3JMcmpnRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUNaX3JMcmpnRRosChZDSUhNMG9nS0VJQ0FnSUNaX3JMclRnEhJDZ3NJcnIzOHB3WVE0TEw0UGciEgkAAAAAAAAAABHorxR7gvW1ryoSQ2dzSXJyMzhwd1lRNExMNFBn&wv=1&d=286732336&gsas=1","Hace un año",""
"https://www.google.com/maps/contrib/115040381770950957390/reviews?hl=es","Susana Lombardini","18 reseñas","","","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUQtaHJ5ejdBRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUQtaHJ5ejdBRRotChZDSUhNMG9nS0VJQ0FnSUQtaHJ5ekhBEhNDZ3dJX0pTUm5BWVEySVM2aUFJIhIJAAAAAAAAAAAR6K8Ue4L1ta8qE0Nnd0lfSlNSbkFZUTJJUzZpQUk&wv=1&d=286732336&gsas=1","Hace un año",""
"https://www.google.com/maps/contrib/115777734527837141361/reviews?hl=es","Rosa Corral de la Torre","Local Guide80 reseñas644 fotos","·","·","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUN1OThMeXJBRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUN1OThMeXJBRRotChZDSUhNMG9nS0VJQ0FnSUN1OThMeWJBEhNDZ3dJc096Rmx3WVE2TER1dFFFIhIJAAAAAAAAAAAR6K8Ue4L1ta8qE0Nnd0lzT3pGbHdZUTZMRHV0UUU&wv=1&d=286732336&gsas=1","Hace 2 años",""
"https://www.google.com/maps/contrib/110198703750980428255/reviews?hl=es","Mika","Local Guide20 reseñas","·","","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUN1NktQUW1BRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUN1NktQUW1BRRosChZDSUhNMG9nS0VJQ0FnSUN1NktQUVdBEhJDZ3NJaThEZWxnWVE0TlhiS0EiEgkAAAAAAAAAABHorxR7gvW1ryoSQ2dzSWk4RGVsZ1lRNE5YYktB&wv=1&d=286732336&gsas=1","Hace 2 años",""
"https://www.google.com/maps/contrib/113190526081211994121/reviews?hl=es","Eva Sanchez Parlorio","1 reseña4 fotos","·","","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUNPdHBiRDBRRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUNPdHBiRDBRRRotChZDSUhNMG9nS0VJQ0FnSUNPdHBiRE1REhNDZ3dJLTRxSWxRWVFpTC05NEFJIhIJAAAAAAAAAAAR6K8Ue4L1ta8qE0Nnd0ktNHFJbFFZUWlMLTk0QUk&wv=1&d=286732336&gsas=1","Hace 2 años",""
