"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","dSlJg","dSlJg 2","znYl0","znYl0 2"
"https://lh3.googleusercontent.com/a/ACg8ocKzsBPPipS-iuuFGI-TTKuWnY-I6E3I7g2p7YplichBaFgqYw=w36-h36-p-rp-mo-ba3-br100","Andrea González Ramos","Local Guide · 15 reseñas · 13 fotos","Hace 2 años","Mi zona","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjUgXZfFhsTiBlP79T2DzxDPWWVP_3lgYrCOic1teExBzLFDuM9S=w36-h36-p-rp-mo-ba5-br100","María García","Local Guide · 564 reseñas · 840 fotos","Hace 4 años","Una plaza impresionante","","","","Compartir"
"https://lh3.googleusercontent.com/a/ACg8ocJ7f1yRlI-4ntG-PByB-WKG-2mh0Ppa7vrO2RNjF4m0zBXOsg=w36-h36-p-rp-mo-ba5-br100","victor garcia","Local Guide · 320 reseñas · 246 fotos","Hace 5 años","Estacion moderna y adaptada a los minusvalidos al 100%","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjXI6apXKC5d2XLf38LT3WePc9ItYG6ebEQzMXIuitpwjicyZOI=w36-h36-p-rp-mo-ba2-br100","Javier Alcaide Jara","Local Guide · 17 reseñas · 2 fotos","Hace 5 años","Siempre que quiero pedir informacion no hay nadie, te puedes colar si quieres...","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjXMIxAwCTzImHRdjjXGvqHZ8lxsSkPxg3Hn0jy2bB62XZJDtL3ZXw=w36-h36-p-rp-mo-ba4-br100","Samuel Guerrero","Local Guide · 35 reseñas · 209 fotos","Hace 3 años","Una arquitectura muy original.","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjXJbBCZP_zY91Zd6RCYn5P28GHGlcfWArIhdDhgTe6PWFe9CgJXuA=w36-h36-p-rp-mo-ba4-br100","Adrián","Local Guide · 83 reseñas · 7 fotos","Hace 7 años","Me paso ahí la vida y bueno, no esta mal, como todo el metro","","","Compartir",""
"https://lh3.googleusercontent.com/a/ACg8ocIr7cCjDBB0LVkD4V8Z6kkWGSJnNkB9LS_thukDXGnKDtVYaA=w36-h36-p-rp-mo-br100","JULIA CORTES","265 reseñas · 3 fotos","Hace 11 meses","Una gran estación de metro","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a/ACg8ocK7y2s25JX1U2lC4jPWOIzXjkFb2ojPBzxVTf5Inry9rjjxHg=w36-h36-p-rp-mo-br100","lokillito de todo","446 reseñas","Hace 7 años","Estación de metro que te deja muy cerca del Pau 4.","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjXq5frTrtl0RRAtg0TmxmvLKLSjXGvFyLiSnyiAI-vIpRQdS8Qg=w36-h36-p-rp-mo-ba4-br100","Luis Bogran","Local Guide · 69 reseñas · 63 fotos","Hace 7 años","Una estación de metro cualquiera en un barrio nuevo.","","","Compartir",""
"https://lh3.googleusercontent.com/a-/ALV-UjXUvKG4Vw2o044JXJzlw8rZO-vXKzr7JSmUJNNqYs2XF_KtZhU-=w36-h36-p-rp-mo-ba6-br100","Eduardo Suarez","Local Guide · 480 reseñas · 1.114 fotos","Hace 5 años","Amplia estación de metro. Cómoda y buenas salidas","","","Compartir",""
