"yC3ZMb href","Vpc5Fe","GSM50","KgoSse href","y3Ibjb","OA1nbd","enjdgf","enjdgf 2"
"https://www.google.com/maps/contrib/104874232804425031873/reviews?hl=es","Mavi Bastante","Local Guide16 reseñas","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUQ3aC1hWG93RRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUQ3aC1hWG93RRItChZDSUhNMG9nS0VJQ0FnSUQ3aC1hWFl3EhNDZ3dJdjQ3QXRnWVF5TF9iMGdFGi4KF0NJSE0wb2dLRUlDQWdJRDdoLWFYNHdFEhNDZ3dJdjQ3QXRnWVF5TF9iMGdFIhIJAAAAAAAAAAARuoWf41dcqRUqE0Nnd0l2NDdBdGdZUXlMX2IwZ0U&wv=1&d=286732336&gsas=1","Hace 3 semanas","La señora de información de la renfe es muy desagradable","·",""
"https://www.google.com/maps/contrib/109675176074699759446/reviews?hl=es","Xanks","Local Guide17 reseñas","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUNoeUl1d2ZREAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUNoeUl1d2ZREi0KF0NJSE0wb2dLRUlDQWdJQ2h5SXV3X1FFEhJDZ3NJNjhiM25nWVE4UERSTVEaLQoWQ0lITTBvZ0tFSUNBZ0lDaHlJdXdBdxITQ2d3SXBNRDJuZ1lRME8zYjZnSSISCQAAAAAAAAAAEbqFn-NXXKkVKhJDZ3NJNjhiM25nWVE4UERSTVE&wv=1&d=286732336&gsas=1","Hace un año","Todos los días, después de las 00:00 el metro se para en laguna para cambiar de tren y nos obligan a salir y a esperar unos 8/10m.A esta hora todos los metros son más lentos y hay menos cantidad por eso mismo es inaceptable que esto pase tan regularmente.Tengo de cambiar de línea varias veces antes que cierre el metro y esto dificulta mucho el trayecto.","·",""
"https://www.google.com/maps/contrib/110847703591072698909/reviews?hl=es","Alana Martín","Local Guide19 reseñas","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUQtbjUyY1p3EAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUQtbjUyY1p3Ei4KF0NJSE0wb2dLRUlDQWdJRC1uNTJjNXdFEhNDZ3dJbDVEaG5BWVFpTlQ4bndJGi0KFkNJSE0wb2dLRUlDQWdJRC1uNTJjRncSE0Nnd0lsNURobkFZUWlOVDhud0kiEgkAAAAAAAAAABG6hZ_jV1ypFSoTQ2d3SWw1RGhuQVlRaU5UOG53SQ&wv=1&d=286732336&gsas=1","Hace un año","Hoy, la de la taquilla (morena, pelo corto y rizado con cara de cabreo) y la de seguridad (bizca, pelirroja y ojos azules) pese a tener mi abono recurrente no me han querido abrir las puertas de los torniquetes por que no he querido darle mi móvil a la de seguridad, a la bizca. Ni que fuera policía. Resumiendo, que me ha tocado colarme por que la de la taquilla me ha dicho que no me iba a abrir. Al colarme, viene la de seguridad y me dice que no, agarrándome del abrigo y rompiéndolo. He entrado evidentemente, la he avisado de que estoy embarazada y le ha dado igual. A ver si despedimos a la gente INÚTIL. 💖","·",""
"https://www.google.com/maps/contrib/107726154390703980714/reviews?hl=es","Nuria G","23 reseñas","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSURleEl6RFlREAE&entityid=ChZDSUhNMG9nS0VJQ0FnSURleEl6RFlREi4KF0NJSE0wb2dLRUlDQWdJRGV4SXpENFFFEhNDZ3dJNUpfbG1RWVEySk9DbGdNGi0KFkNJSE0wb2dLRUlDQWdJRGV4SXpERVESE0Nnd0k1Sl9sbVFZUTJKT0NsZ00iEgkAAAAAAAAAABG6hZ_jV1ypFSoTQ2d3STVKX2xtUVlRMkpPQ2xnTQ&wv=1&d=286732336&gsas=1","Hace un año","Personal vago en el metro. Hoy sábado en concreto la mujer que había en taquilla a pesar de ver que no funcionaban las máquinas para pagar el billete se queda observando sin ayudar ni mover un dedo. Por favor controlen al personal de la estación.","",""
"https://www.google.com/maps/contrib/103348737154038703459/reviews?hl=es","Abraham Arellano Alonso","Local Guide85 reseñas19 fotos","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUNoaGJXMDdnRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUNoaGJXMDdnRRItChZDSUhNMG9nS0VJQ0FnSUNoaGJXMEhnEhNDZ3dJbnJHLW53WVEtTm04cUFNGi4KF0NJSE0wb2dLRUlDQWdJQ2hoYlcwbmdFEhNDZ3dJbnJHLW53WVEtTm04cUFNIhIJAAAAAAAAAAARuoWf41dcqRUqE0Nnd0luckctbndZUS1ObThxQU0&wv=1&d=286732336&gsas=1","Hace un año","Hoy 17 febrero,he visto algo que no vi en mi vida:aforo completo,la continuidad en mi trabajo depende de mi puntualidad,TENGO ABONO pero no podía esperar a si que me salto el torno, inmediatamente sale un trabajador prepotente que me falta el respeto llamándome ¡Ee tuu!me paro le explico que es la 1 vez que lo veo el aforo completo y que tenía muuuchisima prisa y que lo sentía que tengo abono y que mi 8ntencion no era colarme si mo no llegar a mi hora se pone muy pero que muy chulo","·","·"
"https://www.google.com/maps/contrib/117409361172474470634/reviews?hl=es","Elena Lopez","14 reseñas","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUNtaDlyUDB3RRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUNtaDlyUDB3RRItChZDSUhNMG9nS0VJQ0FnSUNtaDlyUE13EhNDZ3dJd3V6MGpnWVE4TERFOFFFGi4KF0NJSE0wb2dLRUlDQWdJQ21oOXJQc3dFEhNDZ3dJd3V6MGpnWVE4TERFOFFFIhIJAAAAAAAAAAARuoWf41dcqRUqE0Nnd0l3dXowamdZUThMREU4UUU&wv=1&d=286732336&gsas=1","Hace 2 años","Estación dotada de muy poca seguridad. En el acceso al cercanías siempre hay gente que se cuela y nunca hay seguridad. Te empujan para pasar o te chillan insultos si se les cierra la puerta, cosa que pasa muy pocas veces. Nadie pone solución, es una estación muy insegura.","",""
"https://www.google.com/maps/contrib/107998959892885779202/reviews?hl=es","JAMV 1971","Local Guide273 reseñas1219 fotos","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUNwcXZLNFNREAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUNwcXZLNFNREi4KF0NJSE0wb2dLRUlDQWdJQ3Bxdks0eVFFEhNDZ3dJdE1ta3BnWVFrUEN3aFFFGi0KFkNJSE0wb2dLRUlDQWdJQ3Bxdks0S1ESE0Nnd0l0TW1rcGdZUWtQQ3doUUUiEgkAAAAAAAAAABG6hZ_jV1ypFSoTQ2d3SXRNbWtwZ1lRa1BDd2hRRQ&wv=1&d=286732336&gsas=1","Hace un año","Siempre de pasada. El qué está en la cabina, si ponen un espantapájaros hace lo mismo. Siempre veo colarse gente. En el andén parece que no ha pasado el tiempo.","·","·"
"https://www.google.com/maps/contrib/111356961437074336907/reviews?hl=es","Luis Sanchez Martin","29 reseñas174 fotos","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUNteElxdHB3RRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUNteElxdHB3RRIsChZDSUhNMG9nS0VJQ0FnSUNteElxdFp3EhJDZ3NJbTZYNGpRWVF5UHlLQ0EaLQoXQ0lITTBvZ0tFSUNBZ0lDbXhJcXQ1d0USEkNnc0ltNlg0alFZUXlQeUtDQSISCQAAAAAAAAAAEbqFn-NXXKkVKhNDZ3dJbktYNGpRWVFvTS1abGdJ&wv=1&d=286732336&gsas=1","Hace 2 años","Fuente Lago Parque Cuña Verde. Latina Madrid","·",""
"https://www.google.com/maps/contrib/101781407002829882627/reviews?hl=es","esther montero castro","Local Guide104 reseñas21 fotos","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUR4MjlDNlNnEAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUR4MjlDNlNnEi4KF0NJSE0wb2dLRUlDQWdJRHgyOUM2eWdFEhNDZ3dJXzk2c3BBWVEyTVNFZ2dNGi0KFkNJSE0wb2dLRUlDQWdJRHgyOUM2S2cSE0Nnd0lfOTZzcEFZUTJNU0VnZ00iEgkAAAAAAAAAABG6hZ_jV1ypFSoTQ2d3SV85NnNwQVlRMk1TRWdnTQ&wv=1&d=286732336&gsas=1","Hace un año","Es una estación de renfe limpia y bebiendo comunicada con bus y metro a dos paradas de atocha. Para ir al rastro ws genial solo es 1 parada hasta embajadorws","·","·"
"https://www.google.com/maps/contrib/108515810056938207889/reviews?hl=es","ibyell","3 reseñas","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUNaeV9YMHpRRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUNaeV9YMHpRRRItChZDSUhNMG9nS0VJQ0FnSUNaeV9YMExREhNDZ3dJbFpLZ3FBWVF1TUxxeEFFGi4KF0NJSE0wb2dLRUlDQWdJQ1p5X1gwclFFEhNDZ3dJc1k2Z3FBWVF5SVRHcUFFIhIJAAAAAAAAAAARuoWf41dcqRUqE0Nnd0lsWktncUFZUXVNTHF4QUU&wv=1&d=286732336&gsas=1","Hace un año","20 minutos si pierdes el RenfeEso o supuestos paronesEncima en la web pone Q llega a una hora y  después llega 10 minutos después el no peor servicio público","",""
