"URL","Usuario","Fecha","Info","Reseña"
"https://www.google.com/maps/contrib/113055445527665248559/reviews?hl=es","Yolanda De Lera Olmos","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUQ2aHBHSlhREAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUQ2aHBHSlhREi0KF0NJSE0wb2dLRUlDQWdJRDZocEdKM1FFEhJDZ3NJNU1mSWlnWVE4Sk9oZFEaLAoWQ0lITTBvZ0tFSUNBZ0lENmhwR0pQURISQ2dzSTVNZklpZ1lROEpPaGRRIhIJAAAAAAAAAAARRlNnKHDs0YoqEkNnc0k1TWZJaWdZUThKT2hkUQ&wv=1&d=286732336&gsas=1","Hace 2 años","Esta bien para ir con niñio. Hacer una quedada con amigos y pasar un rato."
"https://www.google.com/maps/contrib/111177130957715683188/reviews?hl=es","Chio Carmona Rodríguez","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSURXN3BtZ25nRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSURXN3BtZ25nRRItChZDSUhNMG9nS0VJQ0FnSURXN3BtZ1hnEhNDZ3dJc3FIemtRWVF1TnlMd2dJGi4KF0NJSE0wb2dLRUlDQWdJRFc3cG1nM2dFEhNDZ3dJc3FIemtRWVF1TnlMd2dJIhIJAAAAAAAAAAARRlNnKHDs0YoqE0Nnd0lzcUh6a1FZUXVOeUx3Z0k&wv=1&d=286732336&gsas=1","Hace 2 años","Acabo de ir a cargar el abono transporte y han sido súper amables y agradables."
"https://www.google.com/maps/contrib/111325309989137352697/reviews?hl=es","edgar alonso","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSURhOUlEeS1nRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSURhOUlEeS1nRRItChZDSUhNMG9nS0VJQ0FnSURhOUlEeUJnEhNDZ3dJb19EcGlBWVFpSlhmaGdJGi4KF0NJSE0wb2dLRUlDQWdJRGE5SUR5aGdFEhNDZ3dJb19EcGlBWVFpSlhmaGdJIhIJAAAAAAAAAAARRlNnKHDs0YoqE0Nnd0lvX0RwaUFZUWlKWGZoZ0k&wv=1&d=286732336&gsas=1","Hace 3 años","Es muy lindo representante la Unión europea en algo pequeño pero muy lindo algo para disfrutar en familia"
"https://www.google.com/maps/contrib/100773225140462844759/reviews?hl=es","Yolanda H TC","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUQxaDR6M2xBRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUQxaDR6M2xBRRItChZDSUhNMG9nS0VJQ0FnSUQxaDR6M1ZBEhNDZ3dJd083NnJBWVE0T2paNWdJGi4KF0NJSE0wb2dLRUlDQWdJRDFoNHozMUFFEhNDZ3dJd083NnJBWVE0T2paNWdJIhIJAAAAAAAAAAARRlNnKHDs0YoqE0Nnd0l3Tzc2ckFZUTRPalo1Z0k&wv=1&d=286732336&gsas=1","Hace 8 meses","Me gusta"
"https://www.google.com/maps/contrib/110359768846861741320/reviews?hl=es","Ines Sánchez Marin","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSURaM0xMVEVREAE&entityid=ChZDSUhNMG9nS0VJQ0FnSURaM0xMVEVREi4KF0NJSE0wb2dLRUlDQWdJRFozTExUa1FFEhNDZ3dJNWNiTHFBWVF1T1hKMlFFGi0KFkNJSE0wb2dLRUlDQWdJRFozTExUVVESE0Nnd0k1Y2JMcUFZUXVPWEoyUUUiEgkAAAAAAAAAABFGU2cocOzRiioTQ2d3STVjYkxxQVlRdU9YSjJRRQ&wv=1&d=286732336&gsas=1","Hace 11 meses","Esta bien"
"https://www.google.com/maps/contrib/114701224130186269552/reviews?hl=es","Jesus Dotor","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSURnOXRxQWh3RRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSURnOXRxQWh3RRItChZDSUhNMG9nS0VJQ0FnSURnOXRxQVJ3EhNDZ3dJdktfMnl3VVFnTWppLXdFGi4KF0NJSE0wb2dLRUlDQWdJRGc5dHFBeHdFEhNDZ3dJdktfMnl3VVFnTWppLXdFIhIJAAAAAAAAAAARRlNnKHDs0YoqE0Nnd0l2S18yeXdVUWdNamktd0U&wv=1&d=286732336&gsas=1","Hace 7 años","Bonito diseño y poco más que decir un estación que accede al centro de fuenlabrada"
"https://www.google.com/maps/contrib/105539231406266270024/reviews?hl=es","caexe","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUNHM19DazlRRRAB&entityid=ChdDSUhNMG9nS0VJQ0FnSUNHM19DazlRRRItChZDSUhNMG9nS0VJQ0FnSUNHM19DMlZ3EhNDZ3dJMzlfQWpBWVFnS09tb1FJGi0KFkNJSE0wb2dLRUlDQWdJQ0czX0NrRFESE0Nnd0lzOV9BakFZUTRKM2h2d00iEgkAAAAAAAAAABFGU2cocOzRiioTQ2d3STM5X0FqQVlRZ0tPbW9RSQ&wv=1&d=286732336&gsas=1","Hace 2 años","Rosa es muy mala con los clientes actitud penosa"
"https://www.google.com/maps/contrib/106783058911540433338/reviews?hl=es","jose lugo","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUNNejdPdk13EAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUNNejdPdk13Ei4KF0NJSE0wb2dLRUlDQWdJQ016N092c3dFEhNDZ3dJb0phLTd3VVE0TWZEOFFJGi0KFkNJSE0wb2dLRUlDQWdJQ016N092Y3cSE0Nnd0lvSmEtN3dVUTRNZkQ4UUkiEgkAAAAAAAAAABFGU2cocOzRiioTQ2d3SW9KYS03d1VRNE1mRDhRSQ&wv=1&d=286732336&gsas=1","Hace 4 años","Hermoso lugar dónde se reúne la historia de la humanidad. Gracias"
"https://www.google.com/maps/contrib/110676730249388791526/reviews?hl=es","Juan Angel Campo","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSURPeW82V1lnEAE&entityid=ChZDSUhNMG9nS0VJQ0FnSURPeW82V1lnEi0KF0NJSE0wb2dLRUlDQWdJRE95bzZXNGdFEhJDZ3NJbE42QWxnWVFzSzYwU1EaLAoWQ0lITTBvZ0tFSUNBZ0lET3lvNldFZxISQ2dzSWxONkFsZ1lRc0s2MFNRIhIJAAAAAAAAAAARRlNnKHDs0YoqEkNnc0lsTjZBbGdZUXNLNjBTUQ&wv=1&d=286732336&gsas=1","Hace 2 años","Excelente ubicación y comunicaciones."
"https://www.google.com/maps/contrib/113316087432541430319/reviews?hl=es","Bruno Rodrigues de Oliveira","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSUNLdUxmYldBEAE&entityid=ChZDSUhNMG9nS0VJQ0FnSUNLdUxmYldBEi0KF0NJSE0wb2dLRUlDQWdJQ0t1TGZiMkFFEhJDZ3NJc3JiLWdnWVEtTjdsQncaLAoWQ0lITTBvZ0tFSUNBZ0lDS3VMZmJPQRISQ2dzSXNyYi1nZ1lRLU43bEJ3IhIJAAAAAAAAAAARRlNnKHDs0YoqEkNnc0lzcmItZ2dZUS1ON2xCdw&wv=1&d=286732336&gsas=1","Hace 3 años","Ofrece transporte seguro"
