Review
"Parada de metro de línea 7 ,no he andado mucho por aquí , solo algún trasbordo"
"Estación con poca afluencia en las escaleras y vestíbulos, andenes un poco llenos"
Estación ordenada que su nombre haga una referencia a la ciudad de Cartagena en Colombia.
Sin wifi
Estacion de metro  que cumple sus funciones
enorme
"Sin cobertura, escaleras averiadas a menudo"
Falta ascensor
Divertido
No tiene cobertura a la conexión de datos
Necesita una reforma
Exelente
Buena
"Estación pequeña, cuenta con personal en el lugar."
