Review
"Estación limpia que funciona perfectamente, con buenas frecuencias durante la semana. Pero un tren cada 30 minutos durante los fines de semana no es suficiente."
Una estación de metro ligero muy básica.
"Es un poco solitaria, sobre todo cuando ya ha anochecido."
Tiene ascensor eso es bueno
