Review
Es moderno con fácil acceso a personas con movilidad reducida.
"Relativamente nuevo, amplio y de color !!…"
"Estación limpia, buenos accesos, amplia. Hay poco personal pero suficiente."
"Limpio y rápido.Por ponerle un pero.....pero por qué no hay wifi,siendo una de la lineas de metro más nuevas??…"
Una de las estaciones más limpias de Madrid!
"No es de las estaciones más modernas, pero sí muy necesaria en esta parte de la ciudad."
"Buen servicio, estación amplia y siempre en buen estado."
"De las mejores estaciones de metro de todo Madrid, Antonio Machado."
La estacion muy limpia
Buen servicio y siempre en buenas condiciones.
