Review
"Muy buena ubicación, pero muy poca frecuencia. En especial sábados, y domingos. Lo peor el domingo porque pasa cada media hora."
Utilicé el metro ligero el domingo 30 de mayo de 2017 y no contaba con que puede tardar hasta 37 minutos entre cada tren
No tiene mucho espacio para esperar pero esta bien situada
Parada de Metro Ligero. Muy útil si quieres ir en transporte público al cine Kinépolis en Pozuelo.
Muy accesible y cómodo sobre todo para ir al cine Kinepolis desde el centro de Madrid.
"Estación muy fria, y con poca frecuencia"
Los fines de semana pasan cada media hora los trenes......
"Deberían poner más frecuencia por la noche, media hora es mucho tiempo"
Bien situado.
