Review
Es una estación moderna y muy limpia. Funcional.
Limpieza bien y accesos bien
"Mi colega dice que hay gente un poco regulera y traviesa, así que no creo que sea un 4'3"
Todo excelente
Una estación de metro como otra cualquiera
"Estación bastante limpia, la zona no tanto."
Muy bonito y tranquilo
"Muy limpia. Gran estación, mejor persona"
El elevador suele romperse frecuentemente
Una linda mañana de otoño
Para de metro como cualquier otra
Accesible y nueva.
Gente de bien
"Siempre cierran al menos una de las escaleras mecánicas y me obligan a subir. Para llegar al metro ya tienes que tomar las escaleras, pero la parte donde hay escaleras mecánicas todavía la cierran."
El ascensor está bastante de mal humor. se estropea con frecuencia.
