"No da! Aire los Ventiladores nada llega a medio metro"
"La persona en taquilla fue especialmente borde y desagradable. Puedo jurar que me dirigí a él con educación y me contestó con condescendencia y bordería. Una vergüenza para un servicio público"
"Estación de metro que pertenece a la línea 3. Dispone de cobertura móvil además de ascensor. Estación moderna y concurrida. Dispone de 2 accesos a la calle que están enfrente. No comunica con la estación de cercanías Renfe, pero no está lejos, hay que ir por la calle."
"Estación de metro muy renovada y a destacar que es accesible"
"Es una estación más   de barrio pero agrable."
"Es al entrar en la veterana estación de delicias cuando el tiempo cambia de textura, uno se ve trasladado a otras épocas en las que el tren era venerado, admirado por niños y mayores, momentos en que los familiares acudían al pie del anden a despedirse de los suyos.  Si permaneces en silencio, la estación parece susurrar esos momentos ya pasados y quizá olvidados. Si vas a Madrid, visita la estación de Delicias."
"Hay choferes que andan con la mala intención por delante. Se burlan de ti. Gente así no se para que sale a trabajar"
"El hecho de que sea accesible a personas con movilidad reducida, eleva de categoría esta estación 👍🏼😉…"
"No se puede entrar en vagones ni maquina,un poco pobre en ese aspecto"
"Cerca a el Museo del Ferrocarril, antigua estación de Delicias. Ascensor"
"Estación de metro que pertenece a la linea 3. No suele estar muy transitada de gente. Dispone de ascensores y cobertura movil."
"A lo mejor, hablad con quien se carga para construir una parte para conectar la estación de Delicias Cercanías, para que no subamos y bajemos demasiado en las escaleras."
"Está bastante bien por ser una estación de tantos años."
"Horarios de tren Bien, no tarda en llegar no está muy lleno, y se ve siempre limpio"
"Hace mucho calor ahora cuando en la calle se esta muy bien, ¿Ponéis la calefacción o que?"
"Excelente lugar muy bien encantado recomendable ciento por 100"
"Estacion de metro que pertenece a la linea 3. Tiene ascensores y cobertura movil. No suele estar muy transitada de gente."
"Conozco la zona desde niña. Debían prestarle más atención. Para mi es un lugar entrañable"
"Por qué tenemos casi todo serca, como el metro la Renfe y centro comercial"
"Bien comunicado pero existen mejores lineas de metro, la ventaja es que tienen BiciMad en cercanias"
"Estación pequeña, de muy fácil acceso"
"delicias es una estacion del servicio metro de madrid al lado del paseo de las delicias , el museo del ferrocarril y la estacion de tren delicias en madrid"
"En esta estación hay una salida a la calle Cáceres que no aparece en los planos de Google"
"Excelente atención, muy educado su personal y muy limpio"
"Ascensores sin funcionar"
"Algo único, que no se pierda es parte de nuestras raíces."
"Bien"
"Excelente jugo"
"Estación de metro normal. Conecta con la estación de cercanías."
"Un barrio delicioso."
"Un lugar muy Cool"
"Delicioso lugar"
"Buen sitio"
"Metro Delicias"
"El personal no es demasiado útil. El metro nos ayuda a llegar a diferentes lugares a un precio asequible. Recomiendo conseguir 10 billetes de viaje para ahorrar."
"Gran parada de metro, hay ascensor para subir si tienes dificultades para caminar. Esta parada está muy cerca de la parada de tren de Delicias, pero primero hay que salir caminando. Para ello, toma la salida más alta, dirección Calle Ferrocarril. Tome la salida con las escaleras mecánicas. Luego camine recto y verá la estación de tren a su derecha. Es una pena que no lo hayan ampliado, pero esto no es posible debido a la diferencia de altura. Además, la parada de metro está limpia y ordenada."
"La estación para llegar al museo del tren de Madrid."
"¡Fenomenal! Fácil de usar😁…"
"Personal extremadamente grosero, todo está roto, el piso está sucio."
"DE ACUERDO."
