"💥 Es bueno que tenga facil acceso para personas con movilidad reducida, tiene un ascensor amplio👍🏼…"
"ME GUSTA EL BARRIO Y ME SIENTO SEGURA , LO QUE AFEA ES EL DRAGON CON TODOS LOS BORRACHOS TODO EL DIA BEBIENDO Y PELEANDO Y NIÑOS Y ADULTO MAYOR TENER QUE IRSE PARA EVITAR UN BOTELLAZO ."
"muchas mimosas, me gusta casi mas que el brawl star, shrek 4 peliculos"
"Funcional, pero con margen de mejora, La Elipa conecta bien, aunque su infraestructura y accesibilidad podrían ser modernizadas."
"Una estación de la línea 2, y sobre todo, fuera de la M30. Si vas con coche es difícil aparcar pues mucha gente lo deja para acceder al centro en metro. El aparcamiento en la calle es de la ORA, por lo que hay que pagar tanto en zona azul como verde, y el tiempo de uso está limitado, r horas en azul y 2 horas en verde. Tenlo en cuenta porque te pueden multar si te pasas de tiempo"
"Buenas fiestas,buen ambiente familiar y muchas casetas y muchas atracciones para niños......muy bien."
"Es genial, hay muchos bares con terraza, claro que si madrugas, hay gente que trabaja, y los bares no nos dejan dormir, mas de la mitad del barrio tiene que tomar pastillas para dormir y luego pastillas para poder trabajar, en fin felices sueños"
"Barrio bastante familiar, muchas tiendas como las de antes... Hay zonas ajardinadas bonitas y otras algo menos"
"Esta super guay, cuadros bonitos dentro con frases q t hacen pensar, da buen rollo. Ascensor estupendo. Lo único malo es q siempre hace mucho calor dentro del vagón."
"Hace mucho tiempo que no paseaba tranquilamente por los entresijos y las callejuelas de mi barrio de toda la vida y me ha  sorprendido no ver ningún baño público a día de hoy"
"Estación de metro que pertenece a la línea 2 de metro. Suele estar siempre transitada de gente. Dispone de cobertura móvil y ascensores. Solo tiene una salida a la calle. La estación es amplia y moderna."
"Buen barrio de los de siempre"
"Esta bien pero se pasa frio yo vengo cada 15 dias y un fin de semana si y uno no"
"El barrio ya no es lo que era. Se ha degenerado totalmente. Está super sucio. Hay bastantes comercios y precios económicos, es lo único bueno."
"Mi barrio es alegre y colorido, con unos vecinos de siempre, cercanos y familiares. Un lujo!!"
"Muy bien"
"Estación muy transitada por la mañana, hay elevadores disponibles."
"Mmnmm. Un barrio tranquilo y despejado x la mañana.. todos con la misma rutina. Al curro."
"Es un sitio que al salir de el metro tienes una iglesia, paradas de autobuses ejemplo la línea 28 que lleva de puerta de Alcalá a canillejas."
"Estación de metro moderna y con acceso a sillas de minusvalidos. La única pega que le doy es que debería tener alguna  boca mas de salida del metro"
"Me encanta y tiene un ambiente de barrio muy chulo."
"Es seguro como todas las estaciones de Madrid."
"Aunque antiguo,buen barrio y entrañable, bien"
"La Elipa si que flipa"
"Tiene ascensor, esto es importante para los con carrito de bebe o silla de ruedas"
"La estacion del barrio en el que crie. Nos costo muchos años de lucha en el barrio conseguir que llegase el metro."
"Buen barrio bien comunicado"
"60 años disfrutando del barrio"
"Metro de La Elipa. Rápido, limpio y cómodo, si no es hora punta."
"Mi barrio mis vecinos"
"Barrio fantástico"
"Ventilada, y abierta, buenos diseños de pensamientos en paredes"
"Muy accesible y eficiente, los trenes son puntuales"
"Si vas al metro por la noche está todo lleno de borrachos."
"Muy limpia y ordenada"
"Ascensores para facilitar el acceso a los andenes"
"La gente"
"Un buen vecindario. 😏…"
"Buen barrio"
"Muy buen servicio"
"Esta la Ruth ❤️❤️❤️❤️❤️"
"Bien"
"Exelnte barrio hay muchos latinos"
"Menos que más"
"El barrio parece un basurero"
"Los trenes retrasados y estación pequeña"
"Bien"
"Rápido y limpio"
"Maravillosa"
"Servicio de transporte público excepcional"
"Buen sistema de metro"
"👌👍…"
"Amplitud"
"La Elipa en fiestas!!"
"El ascensor SIEMPRE está fuera de servicio. Tuvimos gente intentando arreglarlo desde este verano. Cada vez que crees que finalmente está hecho, al día siguiente vuelve a estar roto. No es que no estén intentando arreglarlo, pero simplemente no puedo entenderlo. ¿Quizás reemplazarlo todo junto?"
"Como era de esperar, los españoles miran con asombro a los asiáticos. - 2018.2.13~ El amigo de Iris, Nando. En camino ^-^- ¡¡¡No te estreses aunque llames la atención!!!"
"Muy buena estación :) solo necesito una escalera nueva"
"Cádiz"
