"Le falta una buena actualización con ascensor"
"Parada de metro con varias salidas en ella, necesita una reforma para adecentarla a los nuevos tiempos Es sencilla"
"La estación esta genial, hay muchísimos bares chulos aquí"
"Situada en el corazón del barrio de Salamanca. No tiene ascensores."
"Sales a la Calle Goya, llena de cafés, escaparates, transporte, Iglesias ubicadas en el Barrio de Salamanca."
"Podría existir un pasadizo para hacer transbordo de Príncipe de Vergara a Velázquez o a Goya sin tener que pagar viaje de nuevo."
"Estación de metro que pertenece a la línea 4. Tiene 2 salidas a la calle. No dispone de ascensores. Dispone de cobertura móvil. Suele estar siempre transitada de gente."
"Como estación de Metro está bien equipada y la frecuencia del transporte es buena. Siempre hay empleados en función del trabajo que se genera en la misma."
"Es una estación clásica de metro: con sus goteras, un anden medio apagado y sin ninguna pantalla de cuando viene el próximo tren. Pero es una estación de metro :)"
"Una pena que no tenga cobertura, aún así es perfecta para echarte una cervecita antes de entrar a la sala Goya."
"Un clàsico de Madrid, muchos comercios, cervecerías, cafeterías. Ideal para callejear e ir de compras."
"De las estaciones más clásicas e ilustres de Madrid."
"Es una zona tranquila y agradable. Love el barrio de Salamanca"
"la línea 4 es muy artística, prueba de ello el nombre de esta estación"
"Es una de las mejores calles de Madrid."
"Muy chic la zona"
"Velázquez es una estación del servicio de metro de Madrid línea 4 en el distrito Salamanca en Madrid España"
"Funciona correctamente y está bien comunicado"
"Iglesia Anglicana en pleno centro de Madrid."
"Permanecerá cerrado hasta mediados de Marzo de 2020"
"Velaske yo soy guapa?"
"Sobre todo mucha limpieza en el metro"
"Se cae a trozos"
"Espectacular 👌…"
"ES EL MEJOR BARRIO DE MADRID."
"Buena estación"
"Pasear por la noche un lujo"
"Bien comunicado"
"un metro lleno de historia"
"Pijos"
"Me rompí el dedo aquí jeje."
"Los empleados están ocupados haciendo su propio trabajo cuando piden café a pesar de que no hay clientes porque están ocupados haciendo otros trabajos... ¿Cuánto más ocupados fingirán estar cuando estén más ocupados?"
"Conveniente."
"Cómodo"
"TELEVISOR"
"Estación básica."
