Review
"Estación limpia que funciona perfectamente, con buenas frecuencias durante la semana. Pero un tren cada 30 minutos durante los fines de semana no es suficiente."
"Berna es una estación del servicio de metro ligero 2 en Pozuelo Alarcón al lado de la vía ferroviaria en Madrid España"
"Una estación de metro ligero muy básica."
"Estación de metro ligero sacada del lejano oeste"
"Es un poco solitaria, sobre todo cuando ya ha anochecido."
"Tiene ascensor eso es bueno"
